Slice,Mean,StdDev,Min,Max
318,1831.843,13.427,1816,1892
319,1833.880,13.250,1819,1917
320,1831.844,12.837,1817,1882
321,1832.750,13.128,1818,1898
322,1834.447,12.994,1820,1902
323,1831.480,13.192,1816,1894
324,1831.503,13.147,1817,1892
325,1832.846,13.830,1817,1913
326,1831.541,13.116,1817,1915
327,1831.374,12.681,1817,1896
328,1834.748,13.291,1820,1900
329,1832.303,13.932,1817,1910
330,1832.373,13.841,1817,1905
331,1835.103,13.026,1820,1901
332,1831.519,13.015,1816,1893
333,1832.156,13.973,1816,1891
334,1834.064,13.393,1818,1913
335,1833.687,13.663,1818,1897
336,1831.824,13.466,1817,1893
337,1832.868,13.628,1817,1903
338,1832.678,13.303,1817,1895
339,1836.087,13.729,1820,1909
340,1833.995,13.053,1818,1886
341,1833.538,13.593,1818,1897
342,1834.431,13.682,1819,1909
343,1836.455,13.643,1821,1900
344,1834.751,13.135,1819,1894
345,1833.963,12.722,1819,1898
346,1831.577,13.249,1816,1902
347,1832.493,12.818,1818,1887
348,1831.626,13.000,1817,1886
349,1832.233,13.325,1817,1895
350,1833.505,12.542,1818,1899
351,1833.965,13.648,1818,1912
352,1832.330,13.001,1817,1887
353,1835.210,12.979,1820,1908
354,1835.038,13.315,1820,1903
355,1832.442,13.527,1817,1916
356,1835.152,13.041,1820,1898
357,1832.460,13.318,1818,1909
358,1831.415,13.002,1817,1923
359,1832.670,13.094,1817,1905
360,1831.926,13.046,1817,1894
361,1834.401,13.917,1819,1908
362,1834.716,13.398,1820,1913
363,1836.142,13.972,1820,1909
364,1835.110,13.508,1820,1900
365,1835.515,14.053,1820,1908
366,1834.948,13.764,1820,1915
367,1835.997,13.912,1820,1904
368,1833.733,13.467,1818,1899
369,1834.874,14.008,1819,1917
370,1835.258,13.681,1820,1913
371,1842.312,14.048,1826,1906
372,2166.736,49.083,2098,2337
373,2581.145,91.024,2438,2873
374,2942.228,127.026,2738,3286
375,3201.015,153.872,2965,3703
376,3356.683,164.136,3099,3863
377,3442.561,175.153,3166,4048
378,3481.433,177.742,3195,4081
379,3491.884,178.679,3212,4027
380,3513.466,176.362,3237,4045
381,3503.933,178.370,3216,4034
382,3513.127,185.629,3223,4110
383,3493.270,177.675,3209,4000
384,3483.409,172.717,3207,3964
385,3481.501,175.857,3212,3971
386,3471.708,173.613,3200,3963
387,3455.311,170.550,3188,3929
388,3451.375,169.039,3185,3934
389,3446.985,169.138,3175,3939
390,3427.501,168.050,3158,3983
391,3422.817,171.969,3152,3982
392,3417.516,165.210,3150,3915
393,3390.749,162.268,3130,3932
394,3387.560,164.967,3129,3819
395,3372.137,164.160,3116,3829
396,3358.248,163.969,3104,3812
397,3366.832,165.197,3101,3870
398,3331.824,158.076,3081,3782
399,3321.256,155.700,3077,3743
400,3399.647,174.027,3108,3878
401,3487.916,189.473,3191,3972
402,3471.313,177.339,3181,3996
403,3456.628,179.618,3163,3932
404,3439.091,176.974,3149,3943
405,3425.580,178.423,3140,3980
406,3435.112,168.832,3152,3895
407,3413.787,168.934,3125,3860
408,3401.753,165.367,3129,3865
409,3375.043,167.865,3091,3827
410,3376.444,164.603,3106,3887
411,3351.926,161.004,3075,3837
412,3348.038,160.900,3082,3820
413,3337.485,161.065,3080,3896
414,3334.020,160.958,3068,3854
415,3310.795,158.185,3044,3808
416,3311.765,157.169,3046,3766
417,3297.426,159.027,3035,3845
418,3284.205,153.153,3028,3707
419,3273.016,158.081,3016,3790
420,3272.355,154.823,3016,3726
421,3237.022,153.407,2981,3669
422,3229.739,150.074,2980,3664
423,3221.439,145.530,2977,3634
424,3202.996,144.925,2959,3637
425,3203.563,148.694,2953,3605
426,3193.237,141.274,2954,3595
427,3199.074,159.603,2953,3733
428,3174.285,152.200,2934,3692
429,3178.649,151.698,2934,3611
430,3160.831,149.192,2927,3682
431,3145.752,148.201,2912,3605
432,3149.433,150.972,2913,3663
433,3128.369,150.919,2894,3610
434,3126.425,144.808,2895,3638
435,3108.952,144.098,2882,3605
436,3092.861,140.856,2865,3623
437,3094.721,140.451,2870,3638
438,3089.233,141.886,2863,3568
439,3077.565,143.591,2852,3555
440,3065.089,133.569,2845,3474
441,3060.256,138.989,2830,3502
442,3066.552,138.766,2845,3571
443,3048.865,135.508,2834,3448
444,3039.529,137.767,2822,3495
445,3034.122,136.467,2812,3547
446,3018.958,133.743,2807,3497
447,3028.357,142.448,2811,3504
448,3020.279,141.038,2803,3491
449,3003.893,137.505,2785,3434
450,2863.811,123.751,2667,3330
451,2949.754,129.835,2749,3366
452,2945.638,129.284,2740,3382
453,2941.438,131.608,2733,3404
454,2932.253,124.274,2733,3362
455,2922.896,128.268,2729,3343
456,2919.060,125.279,2718,3466
457,2894.260,119.297,2705,3377
458,2894.925,119.537,2696,3295
459,2890.988,120.575,2693,3263
460,2887.811,127.459,2693,3280
461,2898.329,130.169,2697,3326
462,2894.651,128.481,2699,3333
463,2881.349,127.185,2683,3295
464,2862.113,125.175,2669,3247
465,2860.106,123.816,2665,3257
466,2855.022,126.004,2664,3297
467,2857.317,121.137,2669,3210
468,2836.597,120.765,2644,3226
469,2838.674,122.755,2648,3214
470,2841.289,121.955,2654,3252
471,2819.481,117.033,2634,3145
472,2829.258,119.941,2640,3213
473,2814.837,119.240,2632,3197
474,2805.569,115.003,2623,3168
475,2802.396,114.107,2623,3203
476,2801.834,112.325,2627,3189
477,2794.661,117.516,2609,3183
478,2786.404,116.106,2607,3189
479,2779.020,112.520,2595,3130
480,2773.594,113.481,2601,3121
481,2769.804,113.104,2597,3172
482,2782.070,114.188,2599,3116
483,2767.238,116.555,2592,3209
484,2766.191,119.091,2591,3244
485,2749.605,113.299,2577,3134
486,2755.192,115.152,2583,3194
487,2742.778,111.456,2573,3067
488,2738.565,110.306,2570,3063
489,2747.540,121.920,2561,3185
490,2747.053,123.491,2566,3202
491,2755.730,127.478,2566,3144
492,2758.772,128.661,2568,3189
493,2733.102,122.658,2552,3109
494,2717.147,116.094,2540,3082
495,2719.392,112.848,2547,3093
496,2715.619,117.341,2538,3084
497,2714.909,114.168,2546,3080
498,2698.344,107.451,2530,3089
499,2702.618,115.203,2533,3188
500,2636.515,107.689,2475,2996
501,2722.897,110.616,2550,3101
502,2711.672,107.377,2542,3071
503,2697.909,104.811,2532,3057
504,2686.052,103.246,2522,3022
505,2689.993,104.677,2521,3092
506,2680.642,100.436,2519,3022
507,2682.356,99.238,2523,2979
508,2676.579,98.214,2520,2973
509,2664.771,100.180,2504,3004
510,2667.004,100.068,2510,2948
511,2664.772,98.332,2504,2976
512,2666.927,101.587,2509,2972
513,2665.218,100.148,2508,3002
514,2658.629,100.389,2503,2992
515,2651.596,96.726,2496,2992
516,2650.805,95.026,2502,2992
517,2657.468,109.199,2496,3021
518,2648.837,99.404,2492,2967
519,2651.098,95.300,2496,2955
520,2645.631,93.545,2492,2899
521,2641.195,93.605,2487,2977
522,2647.295,94.186,2494,2983
523,2630.674,93.510,2479,2943
524,2621.866,91.296,2474,2964
525,2628.317,94.876,2473,2973
526,2622.508,96.647,2466,2972
527,2608.849,92.967,2460,2924
528,2614.221,90.805,2463,2892
529,2593.905,88.698,2451,2929
530,2600.843,90.743,2453,2854
531,2610.017,94.838,2454,2923
532,2599.562,89.343,2457,2892
533,2589.701,90.530,2440,2874
534,2577.664,86.850,2438,2839
535,2575.177,83.597,2437,2826
536,2573.638,86.037,2434,2829
537,2566.444,86.302,2426,2851
538,2574.826,90.258,2433,2854
539,2558.954,87.133,2419,2829
540,2565.263,86.058,2429,2847
541,2556.242,83.463,2420,2867
542,2447.369,78.066,2325,2703
543,1827.340,12.870,1812,1885
544,1827.146,12.804,1812,1887
545,1825.295,13.560,1810,1902
546,1826.034,12.364,1811,1879
547,1826.009,12.858,1811,1899
